timeseries_id,scenario_description,model,region,historical_years,start_time,threshold,hysteresis_margin,total_wall_time_h,training_time_h,paused_time_h,checkpoint_overhead_h,total_energy_kwh,total_emissions_kgco2,baseline_emissions_kgco2,baseline_time_h,co2_savings_pct,score,tokens_processed,tokens_total,completed,num_pauses,actual_overhead_pct,within_overhead_budget,stop_reason
33,Kimi training in Sweden,Kimi,SE,"[2022, 2023, 2024, 2025]",1970-02-18T00:00:00Z,30.0,25.0,13216.833333333334,10898.437547680573,2310.790452319433,7.605333333333309,2527117.91454208,53083.66845337176,57991.894224076306,10898.5,8.463641059454842,0.39786331427846006,15500000000000,15500000000000,True,184,21.27273552426911,True,completed
34,Kimi training in Sweden,Kimi,SE,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,25.0,20.0,20611.916666666668,10898.437547680573,9701.947118986121,11.532000000000016,2672192.3323753537,50104.164871053,54685.51102492715,10898.5,8.377623374106994,0.09399619191313427,15500000000000,15500000000000,True,279,89.12726360073287,True,completed
35,Kimi training in Sweden,Kimi,SE,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,30.0,25.0,12610.75,10898.437547680573,1707.2284523194319,5.083999999999988,2514770.2947713328,50854.827862100836,54685.51102492715,10898.5,7.004932551659227,0.4458463144536652,15500000000000,15500000000000,True,123,15.711540781138874,True,completed
36,Kimi training in Germany,Kimi,DE,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,350.0,300.0,28434.75,6637.833333333333,21771.24866666692,25.66800000000029,1941202.3894235722,586854.3028122965,969314.1734377533,10898.5,39.45675005133073,0.19728337313192376,9440474032772,15500000000000,False,621,200.00038231780397,False,budget_exceeded
37,Kimi training in Germany,Kimi,DE,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,400.0,350.0,24275.166666666668,10898.437547680573,13352.011785652854,24.717333333333606,2746395.6447396018,871800.2652452635,969314.1734377533,10898.5,10.060093091040718,0.08196270913587772,15500000000000,15500000000000,True,598,122.73988008818868,True,completed
38,Kimi training in Germany,Kimi,DE,"[2022, 2023, 2024, 2025]",1970-02-18T00:00:00Z,350.0,300.0,29084.416666666668,7287.5,21768.56200000025,28.35466666666701,2089615.1610917614,623997.1811317888,952682.1653472068,10898.5,34.50101158297932,0.17250472815675236,10364444399100,15500000000000,False,686,200.00038231780397,False,budget_exceeded
39,Kimi training in Germany,Kimi,DE,"[2022, 2023, 2024, 2025]",1970-02-18T00:00:00Z,400.0,350.0,23693.75,10898.437547680573,12770.388452319547,24.924000000000277,2735096.836078792,866447.1831966965,952682.1653472068,10898.5,9.051810277048885,0.07709900710427083,15500000000000,15500000000000,True,603,117.40501748364888,True,completed
40,Kimi training in Germany,Kimi,DE,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,350.0,300.0,29227.25,7430.333333333333,21767.28066666695,29.63600000000037,2122388.3581669345,631490.0685936545,935464.6894097854,10898.5,32.494505058006865,0.16247221470993242,10567585138952,15500000000000,False,717,200.00038231780425,False,budget_exceeded
41,Kimi training in Germany,Kimi,DE,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,400.0,350.0,25141.583333333332,10898.437547680573,14218.965785652883,24.180000000000263,2763185.2013372458,884079.764705003,935464.6894097854,10898.5,5.4929838920165786,0.042030702020863515,15500000000000,15500000000000,True,585,130.68979645616983,True,completed
42,Kimi training in US,Kimi,US,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,400.0,350.0,24430.416666666668,2633.5,21794.76733333336,2.149333333333335,1024986.5032076669,397581.653440632,1027342.0176802722,10898.5,61.29997151889424,0.306499271693832,3745422205836,15500000000000,False,52,200.0003823178019,False,budget_exceeded
43,Kimi training in US,Kimi,US,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,450.0,400.0,19105.833333333332,10898.437547680573,8205.86645231942,1.5293333333333345,2640731.5407031425,1050159.4794492188,1027342.0176802722,10898.5,-2.2210190351669064,-0.029492469686170617,15500000000000,15500000000000,True,37,75.30800434147329,True,completed
44,Kimi training in US,Kimi,US,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,400.0,350.0,23552.583333333332,1755.6666666666667,21795.47000000001,1.4466666666666677,825059.4732415796,325643.219013492,1044771.5414714688,10898.5,68.83115532082236,0.34415511872096954,2496948137224,15500000000000,False,35,200.00038231780175,False,budget_exceeded
45,Kimi training in US,Kimi,US,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,450.0,400.0,21120.333333333332,10898.437547680573,10220.242452319424,1.6533333333333347,2680054.5966240186,1069151.3002555685,1044771.5414714688,10898.5,-2.333501422690263,-0.02487945479452654,15500000000000,15500000000000,True,40,93.79230541674214,True,completed
46,Kimi training in US,Kimi,US,"[2022, 2023, 2024, 2025]",1970-08-08T00:00:00Z,400.0,350.0,24396.666666666668,2599.75,21794.80866666669,2.108000000000002,1017296.9426995513,393885.9648393313,1038066.6645813214,10898.5,62.05581218637866,0.3102784678069844,3697422206046,15500000000000,False,51,200.00038231780186,False,budget_exceeded
47,Kimi training in US,Kimi,US,"[2022, 2023, 2024, 2025]",1970-08-08T00:00:00Z,450.0,400.0,19932.916666666668,10898.437547680573,9032.825785652756,1.6533333333333347,2656891.422224031,1057441.5046254422,1038066.6645813214,10898.5,-1.8664350474962181,-0.022515106233628547,15500000000000,15500000000000,True,40,82.89701270467523,True,completed
